,titulos,enlaces,precios,habitaciones,baños,metros_cuadrados,ciudades,region
85,"NATIVA - PARQUE DE LAS AMERICAS, Apartamento en Venta en Centro narino, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/nativa-parque-de-las-americas-apartamentos-en-venta-en-la-florida-occidental-bogota/10338805,287608000,1,1,38.81,bogotá,Orinoquía
86,"CENTRIKO CONJUNTO RESIDENCIAL, Apartamento en Venta en Fundadores, Armenia",https://www.fincaraiz.com.co/proyectos-vivienda/centriko-conjunto-residencial-apartamentos-en-venta-en-fundadores-armenia/15017538,438646535,2,2,63.11,armenia,Andina
87,"TORRES DEL PARQUE, Apartamento en Venta en URBANIZACION CANARIAS, Santa marta",https://www.fincaraiz.com.co/proyectos-vivienda/torres-del-parque-apartamentos-en-venta-en-ub-sierra-adentro-santa-marta/5133825,273000000,3,2,67.69,santa marta,Caribe
88,"LANAI, Apartamento en Venta en Ciudad Mallorquín, Barranquilla",https://www.fincaraiz.com.co/proyectos-vivienda/lanai-apartamentos-en-venta-en-puerto-colombia/15017062,192172500,2,2,57.59,barranquilla,Caribe
89,"Reserva del Bosque, Apartamento en Venta en Macarena los alpes, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/reserva-del-bosque-apartamentos-en-venta-en-macarena-los-alpes-bogota/10375502,163607503,2,1,37,bogotá,Orinoquía
90,"PLATINUM ZAKURA RESERVA CAMPESTRE, Lote en Venta en La loma, Villa del rosario",https://www.fincaraiz.com.co/proyectos-vivienda/platinum-zakura-reserva-campestre-lotes-en-venta-en-la-loma-villa-del-rosario/7060880,225000000,0,0,300,no especifica,desconocido
91,"Teca, Casa en Venta en Valle del Lili, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/teca-casas-en-venta-en-valle-del-lili-cali/15017389,828475389,3,4,120.94,cali,Amazonía
92,"MILAN, Apartamento en Venta en Providencia, Cartagena",https://www.fincaraiz.com.co/proyectos-vivienda/milan-apartamentos-en-venta-en-providencia-cartagena/7941768,336106000,2,2,65.53,cartagena,Caribe
93,"CONJUNTO CERRADO LLANO LINDO, Apartamento en Venta en Puerto López",https://www.fincaraiz.com.co/proyectos-vivienda/conjunto-cerrado-llano-lindo-apartamentos-en-venta-en-puerto-lopez/15017485,123894770,2,2,58.06,puerto lópez,desconocido
94,"TERRABONGA 2, Apartamento en Venta en Vista hermosa, Santa marta",https://www.fincaraiz.com.co/proyectos-vivienda/terrabonga-2-apartamentos-en-venta-en-pozos-colorados-santa-marta/10331671,350700000,1,1,50.1,santa marta,Caribe
